Code_postal,Nom_commune_plus_peuplee,Libelle_acheminement,Ligne_5,latitude_avg,longitude_avg,Population,Nombre_communes_INSEE
20172,VERO,VERO,,42.0571801121981,8.91986147473722,511,1
20200,BASTIA,BASTIA,CARDO,42.724015756627,9.4350730155776,97760,7
20212,ERBAJOLO,ERBAJOLO,,42.2934101828464,9.28290036255258,510,10
20215,VESCOVATO,VESCOVATO,,42.46630958126,9.43904912378934,4736,7
20218,MOROSAGLIA,MOROSAGLIA,,42.473345985156,9.18613139523939,4435,14
20219,VIVARIO,VIVARIO,TATTONE,42.1591384927214,9.13927647750276,1465,4
20221,CERVIONE,CERVIONE,PRUNETE,42.3290545417909,9.50314690162471,4634,5
20225,MURO,MURO,,42.5588711186658,8.91116368647221,1005,6
20228,LURI,LURI,,42.8874830075219,9.39981059117298,2047,5
20229,PIEDICROCE,PIEDICROCE,,42.3779265869891,9.37455812284295,605,15
20230,SAN NICOLAO,SAN NICOLAO,MORIANI,42.3444982094585,9.49217762669588,13965,19
20232,OLETTA,OLETTA,,42.6249123252255,9.35243534105495,2300,4
20234,VALLE D ALESANI,VALLE D ALESANI,,42.3268055740774,9.40678252439734,466,9
20238,CENTURI,CENTURI,,42.954381077553,9.36252781533865,345,2
20239,MURATO,MURATO,,42.5786587944425,9.35152392554926,1001,2
20245,GALERIA,GALERIA,,42.3903468731757,8.73989233961666,437,2
20246,SANTO PIETRO DI TENDA,SANTO PIETRO DI TENDA,,42.6258561145346,9.23759455149701,817,5
20247,ROGLIANO,ROGLIANO,,42.9821990816811,9.43476499220665,567,1
20250,CORTE,CORTE,,42.2874683002873,9.17340195313485,8627,8
20253,PATRIMONIO,PATRIMONIO,,42.7075792874087,9.35910930092757,1156,3
20256,CORBARA,CORBARA,,42.6207995186328,8.89938023838379,990,1
20270,ALERIA,ALERIA,VACAJA,42.187812314636,9.42842660439343,6189,12
20275,ERSA,ERSA,,42.9931947569673,9.38235707224056,156,1
20276,ASCO,ASCO,,42.439874759007,9.00581673362894,120,1
20279,VILLE DI PARASO,VILLE DI PARASO,,42.5821326653499,8.98912618327357,186,1
20287,MERIA,MERIA,,42.9203594014127,9.4459377683794,100,1
20290,BORGO,BORGO,,42.5160113967554,9.4054940780463,33568,16
21000,DIJON,DIJON,,47.3252623015246,5.0354326063022,153003,1
21230,ARNAY LE DUC,ARNAY LE DUC,,47.1244494630448,4.50497277194786,5084,20
21260,SELONGEY,SELONGEY,,47.5851451790855,5.22272415258208,4331,9
21270,PONTAILLER SUR SAONE,PONTAILLER SUR SAONE,,47.3169590083886,5.39345177285317,6846,18
21300,CHENOVE,CHENOVE,,47.2942449265283,5.01105967318665,13982,1
21310,MIREBEAU SUR BEZE,MIREBEAU SUR BEZE,,47.4073979758,5.31882452424634,9426,22
21320,POUILLY EN AUXOIS,POUILLY EN AUXOIS,,47.2463975688468,4.54179192917719,5660,24
21340,NOLAY,NOLAY,CIREY LES NOLAY,46.9884935756821,4.6214280458645,5089,13
21390,PRECY SOUS THIL,PRECY SOUS THIL,,47.3907060492742,4.34751902446736,2637,15
21410,FLEUREY SUR OUCHE,FLEUREY SUR OUCHE,,47.2826955028207,4.79160143215635,5407,14
21500,MONTBARD,MONTBARD,,47.6227954820025,4.33116002514512,10738,29
21550,LADOIX SERRIGNY,LADOIX SERRIGNY,,47.0718828505552,4.90292710352687,1842,1
21560,ARC SUR TILLE,ARC SUR TILLE,,47.3210218557279,5.19222080549789,6015,4
21580,GRANCEY LE CHATEAU NEUVELLE,GRANCEY LE CHATEAU,NEUVELLE LES GRANCEY,47.6410479458893,4.98401428905315,1355,11
21630,POMMARD,POMMARD,,47.0146396825543,4.79279794486345,519,1
21690,VERREY SOUS SALMAISE,VERREY SOUS SALMAISE,,47.442211583186,4.68400388800801,866,9
21800,CHEVIGNY ST SAUVEUR,CHEVIGNY ST SAUVEUR,,47.2913319841733,5.11776037055456,24922,5
22110,ROSTRENEN,ROSTRENEN,BONEN,48.2457568883103,-3.2948362106477,11968,8
22150,PLOEUC L HERMITAGE,PLOEUC L HERMITAGE,L HERMITAGE LORGE,48.3340020890182,-2.732283782557,16559,8
